Acton Town	ZAT,
Aldgate	ZAD
Aldgate East	ZAE
All Saints	ZAS
Alperton	ZAP
Angel	ZAN
Archway	ZAR
Arnos Grove	ZAG
Arsenal	ZAL
Baker Street	ZBS
Bank	ZBA
Barbican	ZBB
Barkingside	ZBN
Barking Underground	ZBK
Barons Court	ZBQ
Battersby	BTT
Battersea Park	BAK
Bayswater	ZBY
Beckton	ZBV
Beckton Park	ZBJ
Becontree	ZBZ
Belsize Park	ZBP
Bermondsey	ZBE
Blackwall	ZBH
Bond Street (tube)	ZBD
Borough	ZBU
Boston Manor	ZBM
Bounds Green	ZBG
Bow Church	ZBC
Bow Road	ZBR
Brent Cross	ZBT
Bromley-By-Bow	ZBW
Buckhurst Hill	ZBI
Burnt Oak	ZBO
Caledonian Road	ZCR
Camden Town	ZCT
Canada Water	ZCW
Canary Wharf	ZCZ
Canning Town	ZCB
Canons Park	ZCP
Chalk Farm	ZCF
Chancery Lane	ZCY
Chesham	ZCM
Chigwell	ZCG
Chiswick Park	ZCI
Clapham Common	ZCC
Clapham North	ZCN
Clapham South	ZCA
Cockfosters	ZCK
Colindale	ZCD
Colliers Wood	ZCL
Covent Garden	ZCV
Crossharbour	ZCH
Croxley	ZCO
Cutty Sark	ZCS
Cyprus	ZCQ
Dagenham East	ZDE
Dagenham Heathway	ZDH
Debden	ZDB
Deptford Bridge	ZDP
Devons Road	ZDR
Dollis Hill	ZDO
Ealing Common	ZEC
Earls Court	ZET
East Acton	ZEA
Eastcote	ZEE
East Finchley	ZEF
East Ham	ZEH
East India	ZEI
East Putney	ZPU
Edgware	ZED
Edgware Road (Bakerloo)	ZEB
Edgware Road (Circle)	ZEM
Elephant & Castle (Underground)	ZEL
Elm Park	ZEP
Elverson Road	ZER
Embankment	ZEK
Epping	ZEG
Euston Square	ZES
Fairlop	ZFA
Farringdon	ZFD
Finchley Central	ZFC
Finchley Road	ZFR
Fulham Broadway	ZFB
Gallions Reach	ZGC
Gants Hill	ZGA
Gloucester Road	ZGR
Golders Green	ZGG
Goldhawk Road	ZGW
Goodge Street	ZGS
Grange Hill	ZGH
Great Portland Street	ZGP
Green Park	ZGE
Hainault	ZHT
Hammersmith	ZHZ
Hammersmith (District and Piccadilly)	ZHA
Hampstead	ZHM
Hanger Lane	ZHL
Hatton Cross	ZHX
Hendon Central	ZHN
Heron Quays	ZHQ
High Barnet	ZHB
Highgate	ZHG
High Street Kensington	ZHS
Hillingdon	ZHD
Holborn	ZHO
Holland Park	ZHP
Holloway Road	ZHR
Hornchurch	ZHU
Hounslow Central	ZHC
Hounslow East	ZHE
Hounslow West	ZHW
Hyde Park Corner	ZHY
Ickenham	ZIC
Island Gardens	ZIG
Kennington	ZKE
Kilburn	ZKI
Kilburn Park	ZKP
King George V	ZKG
Kingsbury	ZKY
Knightsbridge	ZKN
Ladbroke Grove	ZLG
Lambeth North	ZLN
Lancaster Gate	ZLA
Langdon Park	ZLP
Latimer Road	ZLR
Leicester Square	ZLC
Leyton	ZLY
Leytonstone	ZLE
London City Airport	ZAF
Loughton	ZLO
Maida Vale	ZMV
Manor House	ZMR
Mansion House	ZMH
Marble Arch	ZMA
Mile End	ZME
Mill Hill East	ZML
Monument	ZMM
Moor Park	ZMP
Morden	ZMO
Mornington Crescent	ZMN
Mudchute	ZMC
Neasden	ZNN
Newbury Park	ZNP
North Acton	ZNA
North Ealing	ZNE
Northfields	ZNF
North Harrow	ZNH
Northolt	ZNO
Northwick Park	ZNK
Northwood	ZND
Northwood Hills	ZNS
Notting Hill Gate	ZNG
Oakwood	ZOA
Osterley	ZOY
Oval	ZOV
Oxford Circus	ZOC
Park Royal	ZPK
Parsons Green	ZPG
Perivale	ZPE
Piccadilly Circus	ZPC
Pimlico	ZPO
Pinner	ZPI
Plaistow	ZPS
Pontoon Dock	ZAH
Poplar	ZPL
Preston Road	ZPR
Prince Regent	ZPD
Pudding Mill Lane	ZPM
Putney Bridge	ZPB
Queensbury	ZQB
Queenstown Road (Battersea)	QRB
Queensway	ZQW
Ravenscourt Park	ZRA
Rayners Lane	ZRL
Redbridge	ZRE
Regents Park	ZRP
Roding Valley	ZRV
Royal Albert	ZRC
Royal Oak	ZRY
Royal Victoria	ZRB
Ruislip	ZRU
Ruislip Gardens	ZRG
Ruislip Manor	ZRM
Russell Square	ZRS
Shepherds Bush Market	ZSB
Sloane Square	ZSO
Snaresbrook	ZSN
South Ealing	ZSE
Southgate	ZSA
South Harrow	ZSX
South Kensington	ZSK
South Quay	ZSQ
Southwark	ZSW
South Wimbledon	ZSI
South Woodford	ZQS
Stamford Brook	ZSF
Stanmore	ZSM
Star Lane	ZCJ
Stepney Green	ZSG
St Jamess Park	ZSS
St Johns Wood	ZSJ
Stockwell	ZSL
St Pauls	ZSP
Stratford High Street	ZST
Sudbury Hill	ZSH
Sudbury Town	ZSY
Swiss Cottage	ZSC
Temple	ZTM
Theydon Bois	ZTY
Tooting Bec	ZTB
Tooting Broadway	ZTO
Tottenham Court Road (tube)	ZTC
Totteridge & Whetstone	ZTW
Tower Gateway	ZTG
Tower Hill	ZTH
Tufnell Park	ZTP
Turnham Green	ZTR
Turnpike Lane	ZTL
Upminster Bridge	ZUB
Upminster Underground	ZUM
Upney	ZUY
Upton Park	ZUP
Uxbridge	ZUX
Wanstead	ZWN
Warren Street	ZWS
Warwick Avenue	ZWV
Watford	ZWT
Wembley Park	ZWY
West Acton	ZWE
Westbourne Park	ZWU
Westferry	ZWF
West Finchley	ZWH
West Harrow	ZWX
West India Quay	ZIQ
West Kensington	ZWK
Westminster	ZWM
West Silvertown	ZAI
Whitechapel	ZLW
White City	ZWC
Willesden Green	ZWG
Woodford	ZWO
Wood Green	ZWD
Wood Lane	ZWL
Woodside Park	ZWI
